,type,latitude,longitude
1048,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3078,-71.1262
1052,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3551,-71.166
1064,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3331,-71.1115
1065,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3111,-71.1294
1071,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3338,-71.0357
1073,Missed Trash/Recycling/Yard Waste/Bulk Item,42.298,-71.0785
1074,Improper Storage of Trash (Barrels),42.3446,-71.0724
1075,Missed Trash/Recycling/Yard Waste/Bulk Item,42.309,-71.1335
1076,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3305,-71.037
1080,Missed Trash/Recycling/Yard Waste/Bulk Item,42.31,-71.1225
1089,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3343,-71.0266
1105,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3815,-71.0314
1106,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3047,-71.1194
1108,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3299,-71.0358
1122,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2517,-71.1106
1142,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3445,-71.0724
1151,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2532,-71.1148
1153,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2532,-71.1148
1190,Improper Storage of Trash (Barrels),42.3757,-71.0331
1191,Improper Storage of Trash (Barrels),42.3757,-71.0332
1202,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3594,-71.0587
1203,Improper Storage of Trash (Barrels),42.3643,-71.0527
1205,Improper Storage of Trash (Barrels),42.3594,-71.0587
1208,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2977,-71.0883
1210,Improper Storage of Trash (Barrels),42.3296,-71.1026
1221,Improper Storage of Trash (Barrels),42.3777,-71.0309
1222,Improper Storage of Trash (Barrels),42.3594,-71.0587
1225,Improper Storage of Trash (Barrels),42.3087,-71.0601
1227,Improper Storage of Trash (Barrels),42.3594,-71.0587
1232,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3318,-71.033
1236,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3326,-71.0476
1261,Improper Storage of Trash (Barrels),42.3771,-71.0388
1265,Missed Trash/Recycling/Yard Waste/Bulk Item,42.333,-71.031
1266,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3335,-71.026
1272,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3796,-71.0328
1274,Improper Storage of Trash (Barrels),42.3655,-71.0558
1278,Improper Storage of Trash (Barrels),42.3515,-71.0851
1298,Improper Storage of Trash (Barrels),42.3727,-71.0408
1325,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3513,-71.1701
1329,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3337,-71.029
1330,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3337,-71.029
1331,Improper Storage of Trash (Barrels),42.3654,-71.0561
1333,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3044,-71.0839
1344,Improper Storage of Trash (Barrels),42.3503,-71.1648
1347,Improper Storage of Trash (Barrels),42.3347,-71.0253
1367,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3814,-71.0377
1370,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3539,-71.16
1373,Improper Storage of Trash (Barrels),42.3594,-71.0587
1385,Trash on Vacant Lot,42.3798,-71.027
1392,Missed Trash/Recycling/Yard Waste/Bulk Item,42.3346,-71.0253
1413,Missed Trash/Recycling/Yard Waste/Bulk Item,42.2777,-71.1007
1424,Improper Storage of Trash (Barrels),42.3605,-71.064
